5284,4826,1
4978,4092,1
4470,7112,1
2095,7112,1
8169,7112,1
6134,7112,1
3006,7112,1
6780,7112,1
5624,7112,1
7640,7112,1
4074,1151,1
3168,1151,1
2088,2430,1
716,5406,1
3892,4826,1
7068,1095,1
6897,3465,1
1587,88,1
2903,2430,1
1025,3465,1
8201,3465,1
6527,3465,1
6782,3465,1
4201,88,1
1798,7303,1
2047,5471,1
2047,894,1
2498,3465,1
2557,4100,1
7204,2131,1
7933,5471,1
2224,2430,1
4202,2430,1
5599,5406,1
237,5407,1
5486,3465,1
6944,1838,1
371,88,1
1465,3465,1
7384,7736,1
7384,5471,1
7384,88,1
7384,2430,1
7384,4666,1
7384,4826,1
5853,3465,1
950,7154,1
950,5146,1
950,1906,1
5485,2590,1
7438,3039,1
7564,1208,1
7790,7577,1
733,7835,1
7305,2897,1
323,2683,1
4606,1522,1
1951,8443,1
964,1990,1
964,1717,1
6107,1145,1
2540,7779,1
6711,6752,1
7747,7779,1
5207,6993,1
1249,1700,1
284,7980,1
2785,1151,1
5410,3039,1
5410,1797,1
6956,3039,1
6956,1208,1
1908,3039,1
1908,1151,1
1729,7779,1
6765,7980,1
6475,1151,1
1342,1151,1
4472,4934,1
7888,4023,1
380,3039,1
5988,3039,1
3333,3039,1
3343,3039,1
3466,3039,1
3806,3039,1
1760,3039,1
6084,3039,1
1396,3039,1
2387,3039,1
8419,7980,1
2539,1151,1
6127,1151,1
5683,7980,1
5683,1207,1
4289,7154,1
4289,2442,1
1561,1013,1
8200,2442,1
470,6863,1
5184,1095,1
4865,1906,1
6541,5780,1
7375,3720,1
2842,1151,1
2842,1812,1
4203,1812,1
1386,1812,1
6793,1812,1
4072,1151,1
4072,2422,1
883,1812,1
6699,1812,1
5439,3039,1
5439,2422,1
7198,3039,1
7198,7835,1
7198,5388,1
7198,2003,1
7198,1812,1
7501,1151,1
5267,1812,1
4311,2897,1
4311,1013,1
4838,3039,1
4838,1151,1
2078,7865,1
2078,6657,1
2078,3062,1
2078,2422,1
2078,5037,1
2078,3178,1
3508,5213,1
6293,4838,1
6293,2078,1
6293,3545,1
6293,7865,1
6293,4933,1
6293,2154,1
6293,5091,1
6293,1447,1
7415,4838,1
2732,6293,1
2732,6485,1
2732,3545,1
2732,2154,1
2732,383,1
2732,6092,1
6458,4311,1
2103,6485,1
2990,6567,1
95,7818,1
783,3545,1
3976,8164,1
5129,5091,1
2205,3545,1
2205,7865,1
2205,4165,1
2205,4316,1
2205,4263,1
2205,6171,1
5786,2995,1
6321,4395,1
2928,5091,1
6287,6953,1
1678,5407,1
5832,1151,1
5832,1906,1
5832,2397,1
6338,2397,1
8072,2397,1
8239,4418,1
7458,5913,1
5965,4793,1
8211,8171,1
4799,2205,1
4799,2855,1
4799,4100,1
4799,2070,1
4799,1305,1
4799,8358,1
4799,1050,1
4799,1151,1
4799,4409,1
4799,1812,1
4799,2397,1
5189,4100,1
5189,2397,1
2766,380,1
6838,4799,1
1946,7086,1
1946,4917,1
3576,1146,1
3576,7865,1
6769,5588,1
708,3546,1
2249,7441,1
578,7698,1
2712,26,1
2740,6102,1
1546,4584,1
2266,5953,1
5444,1151,1
5444,4288,1
7941,1833,1
1869,1151,1
8479,1151,1
4152,1151,1
2986,2422,1
2092,1151,1
856,2422,1
5714,1151,1
276,4100,1
1817,4100,1
157,1151,1
112,1151,1
1768,1151,1
7615,4100,1
7615,1779,1
7615,591,1
7615,2397,1
5038,8028,1
605,1151,1
8237,1151,1
1064,5163,1
5163,4100,1
5163,3039,1
5163,2397,1
1039,2205,1
1039,2855,1
1039,2397,1
2855,4100,1
2855,2125,1
2855,2422,1
2855,1151,1
2855,1833,1
8315,1151,1
8263,1151,1
2056,2397,1
5044,1151,1
2530,6149,1
4836,7548,1
1245,4793,1
2212,4290,1
437,2205,1
5970,5163,1
5197,2855,1
488,4793,1
5991,6480,1
5249,8171,1
5698,2070,1
6839,8358,1
4558,1841,1
8117,2590,1
3733,2397,1
7136,4100,1
3201,4100,1
5048,1151,1
7217,4100,1
7612,4100,1
3534,4100,1
2432,4100,1
2750,4100,1
419,1151,1
419,2397,1
6521,1151,1
7416,1151,1
8486,1151,1
3701,4100,1
3701,1812,1
804,7154,1
4872,4100,1
3456,1151,1
1250,4100,1
946,4100,1
4438,4100,1
4438,1812,1
2598,1812,1
6634,1812,1
4100,5183,1
4100,913,1
4100,7368,1
4100,7706,1
4100,2081,1
4100,4550,1
4100,1683,1
4100,7339,1
4100,1261,1
4100,6034,1
4100,5196,1
4100,2794,1
4100,2426,1
4100,4208,1
4100,7493,1
4100,8211,1
4100,708,1
4100,2579,1
4100,668,1
4100,2249,1
4100,8380,1
4100,6870,1
4100,5880,1
4100,2056,1
4100,1639,1
4100,5620,1
4100,5044,1
4100,1169,1
4100,4374,1
4100,7070,1
4100,5605,1
4100,7761,1
4100,7794,1
4100,4317,1
4100,804,1
4100,5543,1
4100,4100,1
4100,5476,1
