5284,company,4826,company,invest
4978,company,4092,company,invest
4470,company,7112,company,invest
2095,company,7112,company,invest
8169,company,7112,company,invest
6134,company,7112,company,invest
3006,company,7112,company,invest
6780,company,7112,company,invest
5624,company,7112,company,invest
7640,company,7112,company,invest
4074,company,1151,company,invest
3168,company,1151,company,invest
2088,company,2430,person,invest
716,company,5406,company,invest
3892,company,4826,company,invest
7068,company,1095,company,invest
6897,company,3465,person,invest
1587,company,88,person,invest
2903,company,2430,person,invest
1025,company,3465,person,invest
8201,company,3465,person,invest
6527,company,3465,person,invest
6782,company,3465,person,invest
4201,company,88,person,invest
1798,company,7303,company,invest
2047,company,5471,person,invest
2047,company,894,person,invest
2498,company,3465,person,invest
2557,company,4100,company,invest
7204,company,2131,company,invest
7933,company,5471,person,invest
2224,company,2430,person,invest
4202,company,2430,person,invest
5599,company,5406,company,invest
237,company,5407,company,invest
5486,company,3465,person,invest
6944,company,1838,company,invest
371,company,88,person,invest
1465,company,3465,person,invest
7384,company,7736,company,invest
7384,company,5471,person,invest
7384,company,88,person,invest
7384,company,2430,person,invest
7384,company,4666,company,invest
7384,company,4826,company,invest
5853,company,3465,person,invest
950,company,7154,company,invest
950,company,5146,person,invest
950,company,1906,company,invest
5485,company,2590,company,invest
7438,company,3039,company,invest
7564,company,1208,person,invest
7790,company,7577,company,invest
733,company,7835,company,invest
7305,company,2897,person,invest
323,company,2683,company,invest
4606,company,1522,company,invest
1951,company,8443,company,invest
964,company,1990,company,invest
964,company,1717,company,invest
6107,company,1145,company,invest
2540,company,7779,company,invest
6711,company,6752,person,invest
7747,company,7779,company,invest
5207,company,6993,company,invest
1249,company,1700,company,invest
284,company,7980,company,invest
2785,company,1151,company,invest
5410,company,3039,company,invest
5410,company,1797,person,invest
6956,company,3039,company,invest
6956,company,1208,person,invest
1908,company,3039,company,invest
1908,company,1151,company,invest
1729,company,7779,company,invest
6765,company,7980,company,invest
6475,company,1151,company,invest
1342,company,1151,company,invest
4472,company,4934,company,invest
7888,company,4023,company,invest
380,company,3039,company,invest
5988,company,3039,company,invest
3333,company,3039,company,invest
3343,company,3039,company,invest
3466,company,3039,company,invest
3806,company,3039,company,invest
1760,company,3039,company,invest
6084,company,3039,company,invest
1396,company,3039,company,invest
2387,company,3039,company,invest
8419,company,7980,company,invest
2539,company,1151,company,invest
6127,company,1151,company,invest
5683,company,7980,company,invest
5683,company,1207,company,invest
4289,company,7154,company,invest
4289,company,2442,company,invest
1561,company,1013,company,invest
8200,company,2442,company,invest
470,company,6863,company,invest
5184,company,1095,company,invest
4865,company,1906,company,invest
6541,company,5780,person,invest
7375,company,3720,person,invest
2842,company,1151,company,invest
